"DIVISION_NO","DIVISION_NAME","DEPARTMENT_NO","DEPARTMENT_NAME","SECT_NO","SECT_NAME","PLANT_NO","PLANT_NAME","PLANT_TYPE","PROVINCE_NAME"
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31QP",กุมภวาปี,CPAC,อุดรธานี
"90000145",RMC Northeast,"00014243",Northeast 2,"00014283",Prod.ร้อยเอ็ด,"31QQ",มหาสารคาม 2,CPAC,มหาสารคาม
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31QR",น้ำพอง-ฟินิคซ,CPAC,ขอนแก่น
"90000145",RMC Northeast,"00014243",Northeast 2,"00014283",Prod.ร้อยเอ็ด,"31QV",มหาสารคาม 3,CPAC,มหาสารคาม
"90000145",RMC Northeast,"00014243",Northeast 2,"00014283",Prod.ร้อยเอ็ด,"31QW",กุฉินารายณ์ 2,CPAC,กาฬสินธุ์
"90000145",RMC Northeast,"00014248",Northeast 3,"00014276",Prod.อุบลราชธานี,"31RA",อุบล-วาริน,CPAC,อุบลราชธานี
"90000145",RMC Northeast,"00014248",Northeast 3,"00014276",Prod.อุบลราชธานี,"31RB",อุบล-ไร่น้อย,CPAC,อุบลราชธานี
"90000145",RMC Northeast,"00014248",Northeast 3,"00014276",Prod.อุบลราชธานี,"31RC",อุบล-หนองขอน,CPAC,อุบลราชธานี
"90000145",RMC Northeast,"00014248",Northeast 3,"00014242",Prod.สกลนคร,"31RH",สกลนคร,CPAC,สกลนคร
"90000145",RMC Northeast,"00014243",Northeast 2,"00014283",Prod.ร้อยเอ็ด,"31RJ",ร้อยเอ็ด,CPAC,ร้อยเอ็ด
"90000145",RMC Northeast,"00014248",Northeast 3,"00014242",Prod.สกลนคร,"31RL",มุกดาหาร 2,CPAC,มุกดาหาร
"90000145",RMC Northeast,"00014222",Northeast 1,"00014277",Prod.บุรีรัมย์,"31RU",หนองกี่,CPAC,บุรีรัมย์
"90000145",RMC Northeast,"00014222",Northeast 1,"00014277",Prod.บุรีรัมย์,"31RV",สตึก,CPAC,บุรีรัมย์
"90000145",RMC Northeast,"00014222",Northeast 1,"00014277",Prod.บุรีรัมย์,"31RW",กระสัง,CPAC,บุรีรัมย์
"90000144",RMC North,"00014803",North 1,"00014864",Prod.เชียงใหม่1,"31U1",เชียงใหม่-แม่โจ้ 2,CPAC,เชียงใหม่
"90000144",RMC North,"00014804",North 2,"00014899",Prod.ลำปาง,"31U3",ลำปาง-แจ้ห่ม,CPAC,ลำปาง
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31U4",พิษณุโลก-แสงดาว,CPAC,พิษณุโลก
"90000144",RMC North,"00014804",North 2,"00014899",Prod.ลำปาง,"31U7",แพร่-เด่นชัย,CPAC,แพร่
"90000144",RMC North,"00014803",North 1,"00014919",Prod.เชียงใหม่2,"31U9",ลำพูน-ป่าซาง,CPAC,ลำพูน
"90000144",RMC North,"00014803",North 1,"00014864",Prod.เชียงใหม่1,"31UA",เชียงใหม่ 2,CPAC,เชียงใหม่
"90000144",RMC North,"00014803",North 1,"00014864",Prod.เชียงใหม่1,"31UB",เชียงใหม่-หางดง,CPAC,เชียงใหม่
"90000144",RMC North,"00014803",North 1,"00014919",Prod.เชียงใหม่2,"31UC",ลำพูน,CPAC,ลำพูน
"90000144",RMC North,"00014803",North 1,"00014864",Prod.เชียงใหม่1,"31UD",เชียงใหม่-แม่โจ้,CPAC,เชียงใหม่
"90000144",RMC North,"00014804",North 2,"00014898",Prod.เชียงราย,"31UG",พะเยา,CPAC,พะเยา
"90000144",RMC North,"00014804",North 2,"00014898",Prod.เชียงราย,"31UI",เชียงราย,CPAC,เชียงราย
